"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"1","2. MEXICALI","02_0370","URBANA","B1",384,383,"panistas","2. MEXICALI URBANA panistas"
"2","2. MEXICALI","02_0370","URBANA","C1",383,382,"panistas","2. MEXICALI URBANA panistas"
"3","2. MEXICALI","02_0371","URBANA","B1",745,744,"panistas","2. MEXICALI URBANA panistas"
"4","2. MEXICALI","02_0372","URBANA","B1",448,447,"panistas","2. MEXICALI URBANA panistas"
"5","2. MEXICALI","02_0372","URBANA","C1",448,446,"panistas","2. MEXICALI URBANA panistas"
"6","2. MEXICALI","02_0373","URBANA","B1",386,386,"panistas","2. MEXICALI URBANA panistas"
"7","2. MEXICALI","02_0373","URBANA","C1",385,385,"panistas","2. MEXICALI URBANA panistas"
"8","2. MEXICALI","02_0374","URBANA","B1",469,468,"indefinidos","2. MEXICALI URBANA indefinidos"
"9","2. MEXICALI","02_0374","URBANA","C1",468,468,"indefinidos","2. MEXICALI URBANA indefinidos"
"10","2. MEXICALI","02_0375","URBANA","B1",519,519,"indefinidos","2. MEXICALI URBANA indefinidos"
"11","2. MEXICALI","02_0375","URBANA","C1",518,518,"indefinidos","2. MEXICALI URBANA indefinidos"
"12","2. MEXICALI","02_0376","URBANA","B1",527,525,"indefinidos","2. MEXICALI URBANA indefinidos"
"13","2. MEXICALI","02_0376","URBANA","C1",526,525,"indefinidos","2. MEXICALI URBANA indefinidos"
"14","2. MEXICALI","02_0376","URBANA","C2",526,524,"indefinidos","2. MEXICALI URBANA indefinidos"
"15","2. MEXICALI","02_0377","URBANA","B1",622,621,"indefinidos","2. MEXICALI URBANA indefinidos"
"16","2. MEXICALI","02_0377","URBANA","C1",622,621,"indefinidos","2. MEXICALI URBANA indefinidos"
"17","2. MEXICALI","02_0377","URBANA","C2",621,620,"indefinidos","2. MEXICALI URBANA indefinidos"
"18","2. MEXICALI","02_0378","URBANA","B1",599,598,"panistas","2. MEXICALI URBANA panistas"
"19","2. MEXICALI","02_0378","URBANA","C1",599,598,"panistas","2. MEXICALI URBANA panistas"
"20","2. MEXICALI","02_0378","URBANA","C2",599,597,"panistas","2. MEXICALI URBANA panistas"
"21","2. MEXICALI","02_0379","URBANA","B1",559,558,"indefinidos","2. MEXICALI URBANA indefinidos"
