"","ident_partido","voto_sen_candidato","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
"1","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",76,"Sí","c(-115.37893| 32.6481)",398,"C1"
"2","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",73,"Sí","c(-115.37893| 32.6481)",398,"C1"
"3","MORENA","No respondió","Mujer",83,"Sí","c(-115.37893| 32.6481)",398,"C1"
"4","PT- Partido del Trabajo","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",83,"Sí","c(-115.37893| 32.6481)",398,"C1"
"5","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",51,"Sí","c(-115.37893| 32.6481)",398,"C1"
"6","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",82,"Sí","c(-115.37893| 32.6481)",398,"C1"
"7","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",17,"Sí","c(-115.37893| 32.6481)",398,"C1"
"8","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",45,"Sí","c(-115.37893| 32.6481)",398,"C1"
"9","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",29,"Sí","c(-115.37893| 32.6481)",398,"C1"
"10","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",32,"Sí","c(-115.37893| 32.6481)",398,"C1"
"11","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",72,"Sí","c(-115.37893| 32.6481)",398,"C1"
"12","PAN - Partido Acción Nacional","Voto nulo","Mujer",28,"Sí","c(-115.37893| 32.6481)",398,"C1"
"13","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",93,"Sí","c(-115.37893| 32.6481)",398,"C1"
"14","MORENA","No respondió","Hombre",87,"Sí","c(-115.37893| 32.6481)",398,"C1"
"15","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",26,"Sí","c(-115.37893| 32.6481)",398,"C1"
"16","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
"17","MORENA","Voto nulo","Hombre",19,"Sí","c(-115.37893| 32.6481)",398,"C1"
"18","PT- Partido del Trabajo","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",71,"Sí","c(-115.37893| 32.6481)",398,"C1"
"19","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",25,"Sí","c(-115.37893| 32.6481)",398,"C1"
"20","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",58,"Sí","c(-115.37893| 32.6481)",398,"C1"
"21","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.37893| 32.6481)",398,"C1"
"22","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",44,"Sí","c(-115.37893| 32.6481)",398,"C1"
"23","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",37,"Sí","c(-115.37893| 32.6481)",398,"C1"
"24","No sabe/No respondió","No respondió","Hombre",66,"Sí","c(-115.37893| 32.6481)",398,"C1"
"25","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",40,"Sí","c(-115.37893| 32.6481)",398,"C1"
"26","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",22,"Sí","c(-115.37893| 32.6481)",398,"C1"
"27","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",25,"Sí","c(-115.37893| 32.6481)",398,"C1"
"28","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",24,"Sí","c(-115.37893| 32.6481)",398,"C1"
"29","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
"30","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",98,"Sí","c(-115.37893| 32.6481)",398,"C1"
"31","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
"32","PAN - Partido Acción Nacional","No respondió","Mujer",83,"Sí","c(-115.37893| 32.6481)",398,"C1"
"33","MORENA","No respondió","Hombre",51,"Sí","c(-115.37893| 32.6481)",398,"C1"
"34","MORENA","Voto nulo","Hombre",81,"Sí","c(-115.37893| 32.6481)",398,"C1"
"35","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",29,"Sí","c(-115.37893| 32.6481)",398,"C1"
"36","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",63,"Sí","c(-115.37893| 32.6481)",398,"C1"
"37","PRI - Partido Revolucionario Institucional","No respondió","Hombre",43,"Sí","c(-115.37893| 32.6481)",398,"C1"
"38","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",88,"Sí","c(-115.37893| 32.6481)",398,"C1"
"39","PAN - Partido Acción Nacional","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",88,"Sí","c(-115.37893| 32.6481)",398,"C1"
"40","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",24,"Sí","c(-115.37893| 32.6481)",398,"C1"
"41","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",28,"Sí","c(-115.37893| 32.6481)",398,"C1"
"42","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",28,"Sí","c(-115.37893| 32.6481)",398,"C1"
"43","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",55,"Sí","c(-115.37893| 32.6481)",398,"C1"
"44","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",89,"Sí","c(-115.37893| 32.6481)",398,"C1"
"45","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",50,"Sí","c(-115.37893| 32.6481)",398,"C1"
"46","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",83,"Sí","c(-115.37893| 32.6481)",398,"C1"
"47","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",27,"Sí","c(-115.37893| 32.6481)",398,"C1"
"48","PVEM – Partido Verde Ecologista de México","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",33,"Sí","c(-115.37893| 32.6481)",398,"C1"
"49","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",99,"Sí","c(-115.37893| 32.6481)",398,"C1"
"50","PAN - Partido Acción Nacional","Voto nulo","Hombre",27,"Sí","c(-115.37893| 32.6481)",398,"C1"
"51","PAN - Partido Acción Nacional","Voto nulo","Hombre",99,"Sí","c(-115.37893| 32.6481)",398,"C1"
"52","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",18,"Sí","c(-115.37893| 32.6481)",398,"C1"
"53","PAN - Partido Acción Nacional","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Mujer",90,"Sí","c(-115.37893| 32.6481)",398,"C1"
